0	0	0	0	0	0	5
0	0	0	1	0	0	4
0	0	0	0	0	13	5
0	0	0	0	0	2	4
0	0	3	0	2	5	4
0	0	5	1	0	6	3
0	0	4	0	0	5	3
0	0	1	0	0	1	5
0	0	0	0	0	4	4
0	1	4	0	2	6	1
0	1	0	0	0	0	5
0	1	0	1	0	0	1
0	1	0	0	0	13	4
0	1	0	0	0	2	5
0	1	3	0	2	5	1
0	1	4	0	0	5	3
0	1	3	1	0	2	1
0	2	0	0	0	0	4
0	2	0	1	0	0	4
0	2	0	0	0	13	3
0	2	0	0	0	2	3
0	2	3	0	2	5	3
0	2	5	1	0	6	3
0	2	4	0	0	5	3
0	2	1	0	0	1	3
0	2	0	0	0	4	4
0	2	3	1	0	2	4
0	3	0	0	0	0	4
0	3	0	1	0	0	5
0	3	0	0	0	13	3
0	3	0	0	0	2	3
0	3	3	0	2	5	4
0	3	4	0	0	5	3
0	3	0	0	0	4	3
0	3	3	1	0	2	4
0	4	0	0	0	0	1
0	4	0	1	0	0	1
0	4	0	0	0	13	3
0	4	0	0	0	2	1
0	4	3	0	2	5	1
0	4	1	0	0	1	5
0	4	0	0	0	4	1
0	4	3	1	0	2	1
0	5	0	0	0	0	5
0	5	0	1	0	0	3
0	5	0	0	0	13	1
0	5	0	0	0	2	2
0	5	3	0	2	5	4
0	5	3	1	0	2	2
0	6	0	0	0	0	4
0	6	0	1	0	0	1
0	6	0	0	0	13	3
0	6	0	0	0	2	4
0	6	1	0	0	1	4
0	7	0	0	0	0	1
0	7	0	0	0	13	4
0	7	0	0	0	2	3
0	7	1	0	0	1	4
0	8	0	0	0	0	4
0	8	0	0	0	2	2
0	8	3	0	2	5	4
0	9	0	0	0	0	4
0	9	0	0	0	2	3
0	9	3	1	0	2	3
0	10	0	0	0	2	3
0	10	1	0	0	1	4
0	10	0	0	0	4	3
0	10	3	1	0	2	4
0	11	0	0	0	2	2
0	11	1	0	0	1	5
0	12	0	0	0	2	4
0	12	3	0	2	5	1
0	12	1	0	0	1	2
0	13	0	0	0	2	3
0	13	3	0	2	5	2
0	13	1	0	0	1	2
0	13	0	0	0	4	2
0	13	3	1	0	2	4
0	14	0	0	0	2	2
0	14	3	0	2	5	2
0	14	1	0	0	1	3
